로트번호,시각,설비호기,교대조,건조_ZONE1_TEMP,건조_ZONE2_TEMP,프레스_1호기_압력,코팅_로딩_mg_cm2,전극_밀도,화성_3단계_CV_전압,NMP_투입비,에이징_시간_h,판정
LOT-2026-1200,2026-08-03 06:00:00,1호기,주간,133.6,118.5,1443.0,20.14,3.455,4.192,0.401,23.7,불량
LOT-2026-1200,2026-08-03 06:03:00,2호기,주간,132.0,117.5,1538.0,21.7,3.464,4.189,0.39,48.2,양품
LOT-2026-1200,2026-08-03 06:06:00,3호기,주간,131.9,120.7,1451.0,20.72,3.58,4.187,0.431,47.5,불량
LOT-2026-1200,2026-08-03 06:09:00,4호기,주간,135.7,113.0,1495.0,20.75,3.464,4.178,0.429,23.8,양품
LOT-2026-1200,2026-08-03 06:12:00,1호기,주간,132.8,118.0,1353.0,20.73,3.487,4.191,0.417,47.5,양품
LOT-2026-1200,2026-08-03 06:15:00,2호기,주간,131.0,119.1,1438.0,21.94,3.459,4.191,0.442,24.2,양품
LOT-2026-1200,2026-08-03 06:18:00,3호기,주간,130.5,121.1,1484.0,20.05,3.501,4.186,0.439,23.8,불량
LOT-2026-1200,2026-08-03 06:21:00,4호기,주간,133.9,122.3,1424.0,21.32,3.422,4.201,0.434,35.5,양품
LOT-2026-1200,2026-08-03 06:24:00,1호기,주간,131.6,120.4,1438.0,21.73,3.501,4.188,0.438,48.8,양품
LOT-2026-1200,2026-08-03 06:27:00,2호기,주간,130.2,121.1,1550.0,20.68,3.486,4.193,0.406,23.4,양품
LOT-2026-1200,2026-08-03 06:30:00,3호기,주간,129.6,120.0,1476.0,20.41,3.448,4.199,0.384,24.0,양품
LOT-2026-1200,2026-08-03 06:33:00,4호기,주간,132.0,120.7,1316.0,20.84,3.457,4.193,0.408,24.5,양품
LOT-2026-1200,2026-08-03 06:36:00,1호기,주간,133.7,117.5,1469.0,20.76,3.517,4.183,0.4,24.5,양품
LOT-2026-1200,2026-08-03 06:39:00,2호기,주간,131.5,120.3,1505.0,20.53,3.485,4.201,0.421,36.1,양품
LOT-2026-1200,2026-08-03 06:42:00,3호기,주간,130.5,115.4,1479.0,21.18,3.465,4.188,0.419,48.4,양품
LOT-2026-1200,2026-08-03 06:45:00,4호기,주간,132.8,118.6,1432.0,19.93,3.478,4.189,0.437,48.0,불량
LOT-2026-1200,2026-08-03 06:48:00,1호기,주간,130.7,129.9,1512.0,20.59,3.513,4.207,0.388,36.0,양품
LOT-2026-1200,2026-08-03 06:51:00,2호기,주간,133.2,117.2,1411.0,21.07,3.452,4.192,0.386,47.4,양품
LOT-2026-1200,2026-08-03 06:54:00,3호기,주간,129.9,116.2,1521.0,21.44,3.448,4.198,0.452,36.9,양품
LOT-2026-1200,2026-08-03 06:57:00,4호기,주간,132.6,119.9,1493.0,21.4,3.427,4.191,0.391,48.1,양품
LOT-2026-1200,2026-08-03 07:00:00,1호기,주간,133.5,123.4,1504.0,21.23,3.456,4.217,0.41,48.3,양품
LOT-2026-1200,2026-08-03 07:03:00,2호기,주간,134.2,118.8,1455.0,20.95,3.583,4.201,0.425,35.7,양품
LOT-2026-1200,2026-08-03 07:06:00,3호기,주간,130.5,117.6,1413.0,20.4,3.525,4.198,0.404,35.8,양품
LOT-2026-1200,2026-08-03 07:09:00,4호기,주간,132.0,117.5,1421.0,20.97,3.49,4.17,0.438,23.7,양품
LOT-2026-1200,2026-08-03 07:12:00,1호기,주간,133.5,119.3,1507.0,20.68,3.503,4.183,0.417,48.6,양품
